Second 0: No pose detected
Second 1: No pose detected
Second 2: No pose detected
Second 3: No pose detected
Second 4:
  Body Pose:
    Landmark 7: (194, 584) | Visibility: 0.927
    Landmark 8: (152, 603) | Visibility: 0.900
    Landmark 9: (195, 619) | Visibility: 0.908
    Landmark 10: (181, 626) | Visibility: 0.892
    Landmark 11: (200, 642) | Visibility: 0.875
    Landmark 12: (137, 698) | Visibility: 0.818
    Landmark 13: (248, 608) | Visibility: 0.374
    Landmark 14: (189, 624) | Visibility: 0.408
    Landmark 15: (181, 530) | Visibility: 0.185
    Landmark 16: (177, 529) | Visibility: 0.252
    Landmark 17: (160, 512) | Visibility: 0.175
    Landmark 18: (186, 516) | Visibility: 0.244
    Landmark 19: (157, 501) | Visibility: 0.195
    Landmark 20: (155, 506) | Visibility: 0.263
    Landmark 21: (164, 510) | Visibility: 0.197
    Landmark 22: (150, 512) | Visibility: 0.254
    Landmark 23: (223, 1011) | Visibility: 0.415
    Landmark 24: (192, 1037) | Visibility: 0.430
    Landmark 25: (283, 698) | Visibility: 0.144
    Landmark 26: (240, 718) | Visibility: 0.098
    Landmark 27: (213, 636) | Visibility: 0.053
    Landmark 28: (257, 629) | Visibility: 0.038
    Landmark 29: (185, 639) | Visibility: 0.047
    Landmark 30: (247, 627) | Visibility: 0.038
    Landmark 31: (227, 576) | Visibility: 0.052
    Landmark 32: (270, 556) | Visibility: 0.047
