Second 0:
  Body Pose:
    Landmark 4: (460, 249) | Visibility: 1.000
    Landmark 5: (438, 241) | Visibility: 0.999
    Landmark 6: (418, 235) | Visibility: 0.999
    Landmark 7: (528, 278) | Visibility: 1.000
    Landmark 8: (365, 243) | Visibility: 0.999
    Landmark 9: (493, 357) | Visibility: 1.000
    Landmark 10: (445, 348) | Visibility: 1.000
    Landmark 11: (555, 461) | Visibility: 1.000
    Landmark 12: (207, 420) | Visibility: 0.998
    Landmark 13: (564, 657) | Visibility: 0.875
    Landmark 14: (156, 723) | Visibility: 0.957
    Landmark 15: (657, 814) | Visibility: 0.848
    Landmark 16: (318, 893) | Visibility: 0.910
    Landmark 17: (714, 904) | Visibility: 0.812
    Landmark 18: (320, 934) | Visibility: 0.833
    Landmark 19: (686, 879) | Visibility: 0.810
    Landmark 20: (370, 903) | Visibility: 0.808
    Landmark 21: (660, 865) | Visibility: 0.817
    Landmark 22: (363, 887) | Visibility: 0.793
    Landmark 23: (418, 772) | Visibility: 0.999
    Landmark 24: (211, 821) | Visibility: 0.999
    Landmark 25: (679, 770) | Visibility: 0.754
    Landmark 26: (349, 961) | Visibility: 0.807
    Landmark 27: (746, 918) | Visibility: 0.461
    Landmark 28: (474, 984) | Visibility: 0.303
    Landmark 29: (703, 963) | Visibility: 0.499
    Landmark 30: (471, 986) | Visibility: 0.339
    Landmark 31: (907, 995) | Visibility: 0.389
    Landmark 32: (616, 1049) | Visibility: 0.266
Second 7:
  Body Pose:
    Landmark 0: (403, 184) | Visibility: 1.000
    Landmark 1: (417, 168) | Visibility: 1.000
    Landmark 2: (426, 171) | Visibility: 1.000
    Landmark 3: (434, 174) | Visibility: 1.000
    Landmark 4: (391, 164) | Visibility: 1.000
    Landmark 5: (382, 163) | Visibility: 0.999
    Landmark 6: (370, 164) | Visibility: 0.999
    Landmark 7: (437, 192) | Visibility: 0.999
    Landmark 8: (345, 186) | Visibility: 0.999
    Landmark 9: (412, 213) | Visibility: 1.000
    Landmark 10: (379, 210) | Visibility: 1.000
    Landmark 11: (527, 337) | Visibility: 1.000
    Landmark 12: (232, 326) | Visibility: 0.998
    Landmark 13: (546, 509) | Visibility: 0.872
    Landmark 14: (185, 513) | Visibility: 0.952
    Landmark 15: (524, 671) | Visibility: 0.831
    Landmark 16: (241, 722) | Visibility: 0.883
    Landmark 17: (523, 718) | Visibility: 0.791
    Landmark 18: (238, 759) | Visibility: 0.805
    Landmark 19: (511, 720) | Visibility: 0.791
    Landmark 20: (259, 830) | Visibility: 0.784
    Landmark 21: (506, 698) | Visibility: 0.796
    Landmark 22: (262, 807) | Visibility: 0.771
    Landmark 23: (423, 658) | Visibility: 0.999
    Landmark 24: (241, 672) | Visibility: 0.999
    Landmark 25: (460, 861) | Visibility: 0.773
    Landmark 26: (304, 947) | Visibility: 0.822
    Landmark 27: (438, 1094) | Visibility: 0.506
    Landmark 28: (315, 1073) | Visibility: 0.364
    Landmark 29: (435, 1111) | Visibility: 0.513
    Landmark 30: (326, 1086) | Visibility: 0.365
    Landmark 31: (428, 1173) | Visibility: 0.436
    Landmark 32: (286, 1161) | Visibility: 0.325
Second 8:
  Body Pose:
    Landmark 0: (326, 187) | Visibility: 1.000
    Landmark 1: (350, 168) | Visibility: 1.000
    Landmark 2: (367, 167) | Visibility: 1.000
    Landmark 3: (382, 167) | Visibility: 1.000
    Landmark 4: (307, 168) | Visibility: 1.000
    Landmark 5: (291, 173) | Visibility: 0.999
    Landmark 6: (277, 178) | Visibility: 0.999
    Landmark 7: (420, 185) | Visibility: 0.999
    Landmark 8: (276, 204) | Visibility: 0.999
    Landmark 9: (357, 222) | Visibility: 1.000
    Landmark 10: (316, 230) | Visibility: 1.000
    Landmark 11: (512, 377) | Visibility: 1.000
    Landmark 12: (332, 282) | Visibility: 0.999
    Landmark 13: (360, 604) | Visibility: 0.884
    Landmark 14: (153, 400) | Visibility: 0.939
    Landmark 15: (150, 599) | Visibility: 0.843
    Landmark 16: (160, 347) | Visibility: 0.873
    Landmark 17: (95, 610) | Visibility: 0.799
    Landmark 18: (166, 318) | Visibility: 0.795
    Landmark 19: (109, 568) | Visibility: 0.801
    Landmark 20: (185, 297) | Visibility: 0.776
    Landmark 21: (129, 562) | Visibility: 0.803
    Landmark 22: (174, 334) | Visibility: 0.765
    Landmark 23: (433, 685) | Visibility: 0.999
    Landmark 24: (351, 614) | Visibility: 0.999
    Landmark 25: (219, 707) | Visibility: 0.760
    Landmark 26: (227, 577) | Visibility: 0.760
    Landmark 27: (297, 873) | Visibility: 0.509
    Landmark 28: (264, 822) | Visibility: 0.337
    Landmark 29: (340, 910) | Visibility: 0.526
    Landmark 30: (301, 866) | Visibility: 0.339
    Landmark 31: (212, 901) | Visibility: 0.446
    Landmark 32: (170, 897) | Visibility: 0.306
Second 9:
  Body Pose:
    Landmark 0: (232, 204) | Visibility: 1.000
    Landmark 1: (246, 189) | Visibility: 1.000
    Landmark 2: (256, 188) | Visibility: 1.000
    Landmark 3: (267, 187) | Visibility: 1.000
    Landmark 4: (218, 191) | Visibility: 0.999
    Landmark 5: (208, 194) | Visibility: 0.999
    Landmark 6: (199, 197) | Visibility: 0.999
    Landmark 7: (282, 198) | Visibility: 0.999
    Landmark 8: (188, 213) | Visibility: 0.999
    Landmark 9: (250, 225) | Visibility: 1.000
    Landmark 10: (219, 237) | Visibility: 1.000
    Landmark 11: (319, 314) | Visibility: 1.000
    Landmark 12: (164, 304) | Visibility: 0.999
    Landmark 13: (356, 454) | Visibility: 0.832
    Landmark 14: (154, 436) | Visibility: 0.929
    Landmark 15: (332, 527) | Visibility: 0.790
    Landmark 16: (213, 466) | Visibility: 0.852
    Landmark 17: (328, 553) | Visibility: 0.751
    Landmark 18: (264, 488) | Visibility: 0.779
    Landmark 19: (320, 547) | Visibility: 0.753
    Landmark 20: (269, 471) | Visibility: 0.761
    Landmark 21: (316, 537) | Visibility: 0.758
    Landmark 22: (260, 478) | Visibility: 0.750
    Landmark 23: (279, 609) | Visibility: 0.999
    Landmark 24: (180, 590) | Visibility: 0.999
    Landmark 25: (271, 692) | Visibility: 0.739
    Landmark 26: (229, 722) | Visibility: 0.759
    Landmark 27: (421, 933) | Visibility: 0.512
    Landmark 28: (301, 875) | Visibility: 0.365
    Landmark 29: (413, 968) | Visibility: 0.520
    Landmark 30: (304, 946) | Visibility: 0.345
    Landmark 31: (513, 959) | Visibility: 0.458
    Landmark 32: (396, 1032) | Visibility: 0.335
Second 10: No pose detected
Second 11:
  Body Pose:
    Landmark 0: (326, 202) | Visibility: 1.000
    Landmark 1: (353, 168) | Visibility: 1.000
    Landmark 2: (370, 167) | Visibility: 1.000
    Landmark 3: (383, 166) | Visibility: 1.000
    Landmark 4: (306, 171) | Visibility: 1.000
    Landmark 5: (293, 171) | Visibility: 0.999
    Landmark 6: (283, 172) | Visibility: 0.999
    Landmark 7: (404, 179) | Visibility: 0.999
    Landmark 8: (278, 185) | Visibility: 0.999
    Landmark 9: (361, 238) | Visibility: 1.000
    Landmark 10: (307, 241) | Visibility: 1.000
    Landmark 11: (508, 305) | Visibility: 1.000
    Landmark 12: (203, 357) | Visibility: 0.999
    Landmark 13: (607, 416) | Visibility: 0.803
    Landmark 14: (148, 547) | Visibility: 0.861
    Landmark 15: (447, 356) | Visibility: 0.724
    Landmark 16: (185, 546) | Visibility: 0.781
    Landmark 17: (399, 351) | Visibility: 0.685
    Landmark 18: (195, 557) | Visibility: 0.715
    Landmark 19: (397, 326) | Visibility: 0.687
    Landmark 20: (200, 522) | Visibility: 0.698
    Landmark 21: (407, 338) | Visibility: 0.692
    Landmark 22: (209, 523) | Visibility: 0.688
    Landmark 23: (486, 688) | Visibility: 0.999
    Landmark 24: (301, 719) | Visibility: 0.999
    Landmark 25: (540, 555) | Visibility: 0.741
    Landmark 26: (240, 707) | Visibility: 0.720
    Landmark 27: (478, 845) | Visibility: 0.491
    Landmark 28: (318, 805) | Visibility: 0.336
    Landmark 29: (467, 900) | Visibility: 0.508
    Landmark 30: (338, 831) | Visibility: 0.323
    Landmark 31: (451, 927) | Visibility: 0.437
    Landmark 32: (310, 841) | Visibility: 0.308
Second 12:
  Body Pose:
    Landmark 0: (445, 233) | Visibility: 1.000
